# Center_x Center_y Xtype1 j1 k1 Xtype2 j2 k2
0.015625 0.65625 0 6 2 0 6 43
0.015625 0.671875 0 6 2 0 6 44
0.015625 0.6875 0 6 2 0 6 45
0.015625 0.703125 0 6 2 0 6 46
0.015625 0.71875 0 6 2 0 6 47
0.015625 0.734375 0 6 2 0 6 48
0.015625 0.75 0 6 2 0 6 49
0.015625 0.765625 0 6 2 0 6 50
0.015625 0.78125 0 6 2 0 6 51
0.015625 0.796875 0 6 2 0 6 52
0.015625 0.8125 0 6 2 0 6 53
0.015625 0.828125 0 6 2 0 6 54
0.015625 0.84375 0 6 2 0 6 55
0.015625 0.859375 0 6 2 0 6 56
0.015625 0.875 0 6 2 0 6 57
0.015625 0.890625 0 6 2 0 6 58
0.015625 0.90625 0 6 2 0 6 59
0.015625 0.921875 0 6 2 0 6 60
0.015625 0.9375 0 6 2 0 6 61
0.015625 0.953125 0 6 2 0 6 62
0.015625 0.96875 0 6 2 0 6 63
0.015625 0.984375 0 6 2 0 6 64
0.03125 0.015625 0 6 3 0 6 2
0.03125 0.03125 0 6 3 0 6 3
0.03125 0.046875 0 6 3 0 6 4
0.03125 0.0625 0 6 3 0 6 5
0.03125 0.078125 0 6 3 0 6 6
0.03125 0.09375 0 6 3 0 6 7
0.03125 0.109375 0 6 3 0 6 8
0.03125 0.125 0 6 3 0 6 9
0.03125 0.140625 0 6 3 0 6 10
0.03125 0.15625 0 6 3 0 6 11
0.03125 0.171875 0 6 3 0 6 12
0.03125 0.1875 0 6 3 0 6 13
0.03125 0.203125 0 6 3 0 6 14
0.03125 0.21875 0 6 3 0 6 15
0.03125 0.234375 0 6 3 0 6 16
0.03125 0.25 0 6 3 0 6 17
0.03125 0.265625 0 6 3 0 6 18
0.03125 0.28125 0 6 3 0 6 19
0.03125 0.296875 0 6 3 0 6 20
0.03125 0.3125 0 6 3 0 6 21
0.03125 0.328125 0 6 3 0 6 22
0.03125 0.34375 0 6 3 0 6 23
0.03125 0.359375 0 6 3 0 6 24
0.03125 0.375 0 6 3 0 6 25
0.03125 0.390625 0 6 3 0 6 26
0.03125 0.40625 0 6 3 0 6 27
0.03125 0.421875 0 6 3 0 6 28
0.03125 0.4375 0 6 3 0 6 29
0.03125 0.453125 0 6 3 0 6 30
0.03125 0.46875 0 6 3 0 6 31
0.03125 0.484375 0 6 3 0 6 32
0.03125 0.5 0 6 3 0 6 33
0.03125 0.515625 0 6 3 0 6 34
0.03125 0.53125 0 6 3 0 6 35
0.03125 0.546875 0 6 3 0 6 36
0.03125 0.5625 0 6 3 0 6 37
0.03125 0.578125 0 6 3 0 6 38
0.03125 0.59375 0 6 3 0 6 39
0.03125 0.609375 0 6 3 0 6 40
0.03125 0.625 0 6 3 0 6 41
0.03125 0.640625 0 6 3 0 6 42
0.03125 0.65625 0 6 3 0 6 43
0.03125 0.671875 0 6 3 0 6 44
0.03125 0.6875 0 6 3 0 6 45
0.03125 0.703125 0 6 3 0 6 46
0.03125 0.71875 0 6 3 0 6 47
0.03125 0.734375 0 6 3 0 6 48
0.03125 0.75 0 6 3 0 6 49
0.03125 0.765625 0 6 3 0 6 50
0.03125 0.78125 0 6 3 0 6 51
0.03125 0.796875 0 6 3 0 6 52
0.03125 0.8125 0 6 3 0 6 53
0.03125 0.828125 0 6 3 0 6 54
0.03125 0.84375 0 6 3 0 6 55
0.03125 0.859375 0 6 3 0 6 56
0.03125 0.875 0 6 3 0 6 57
0.03125 0.890625 0 6 3 0 6 58
0.03125 0.90625 0 6 3 0 6 59
0.03125 0.921875 0 6 3 0 6 60
0.03125 0.9375 0 6 3 0 6 61
0.03125 0.953125 0 6 3 0 6 62
0.03125 0.96875 0 6 3 0 6 63
0.03125 0.984375 0 6 3 0 6 64
0.046875 0.015625 0 6 4 0 6 2
0.046875 0.03125 0 6 4 0 6 3
0.046875 0.046875 0 6 4 0 6 4
0.046875 0.0625 0 6 4 0 6 5
0.046875 0.078125 0 6 4 0 6 6
0.046875 0.09375 0 6 4 0 6 7
0.046875 0.109375 0 6 4 0 6 8
0.046875 0.125 0 6 4 0 6 9
0.046875 0.140625 0 6 4 0 6 10
0.046875 0.15625 0 6 4 0 6 11
0.046875 0.171875 0 6 4 0 6 12
0.046875 0.1875 0 6 4 0 6 13
0.046875 0.203125 0 6 4 0 6 14
0.046875 0.21875 0 6 4 0 6 15
0.046875 0.234375 0 6 4 0 6 16
0.046875 0.25 0 6 4 0 6 17
0.046875 0.265625 0 6 4 0 6 18
0.046875 0.28125 0 6 4 0 6 19
0.046875 0.296875 0 6 4 0 6 20
0.046875 0.3125 0 6 4 0 6 21
0.046875 0.328125 0 6 4 0 6 22
0.046875 0.34375 0 6 4 0 6 23
0.046875 0.359375 0 6 4 0 6 24
0.046875 0.375 0 6 4 0 6 25
0.046875 0.390625 0 6 4 0 6 26
0.046875 0.40625 0 6 4 0 6 27
0.046875 0.421875 0 6 4 0 6 28
0.046875 0.4375 0 6 4 0 6 29
0.046875 0.453125 0 6 4 0 6 30
0.046875 0.46875 0 6 4 0 6 31
0.046875 0.484375 0 6 4 0 6 32
0.046875 0.5 0 6 4 0 6 33
0.046875 0.515625 0 6 4 0 6 34
0.046875 0.53125 0 6 4 0 6 35
0.046875 0.546875 0 6 4 0 6 36
0.046875 0.5625 0 6 4 0 6 37
0.046875 0.578125 0 6 4 0 6 38
0.046875 0.59375 0 6 4 0 6 39
0.046875 0.609375 0 6 4 0 6 40
0.046875 0.625 0 6 4 0 6 41
0.046875 0.640625 0 6 4 0 6 42
0.046875 0.65625 0 6 4 0 6 43
0.046875 0.671875 0 6 4 0 6 44
0.046875 0.6875 0 6 4 0 6 45
0.046875 0.703125 0 6 4 0 6 46
0.046875 0.71875 0 6 4 0 6 47
0.046875 0.734375 0 6 4 0 6 48
0.046875 0.75 0 6 4 0 6 49
0.046875 0.765625 0 6 4 0 6 50
0.046875 0.78125 0 6 4 0 6 51
0.046875 0.796875 0 6 4 0 6 52
0.046875 0.8125 0 6 4 0 6 53
0.046875 0.828125 0 6 4 0 6 54
0.046875 0.84375 0 6 4 0 6 55
0.046875 0.859375 0 6 4 0 6 56
0.046875 0.875 0 6 4 0 6 57
0.046875 0.890625 0 6 4 0 6 58
0.046875 0.90625 0 6 4 0 6 59
0.046875 0.921875 0 6 4 0 6 60
0.046875 0.9375 0 6 4 0 6 61
0.046875 0.953125 0 6 4 0 6 62
0.046875 0.96875 0 6 4 0 6 63
0.046875 0.984375 0 6 4 0 6 64
0.0625 0.015625 0 6 5 0 6 2
0.0625 0.03125 0 6 5 0 6 3
0.0625 0.046875 0 6 5 0 6 4
0.0625 0.0625 0 6 5 0 6 5
0.0625 0.078125 0 6 5 0 6 6
0.0625 0.09375 0 6 5 0 6 7
0.0625 0.109375 0 6 5 0 6 8
0.0625 0.125 0 6 5 0 6 9
0.0625 0.140625 0 6 5 0 6 10
0.0625 0.15625 0 6 5 0 6 11
0.0625 0.171875 0 6 5 0 6 12
0.0625 0.1875 0 6 5 0 6 13
0.0625 0.203125 0 6 5 0 6 14
0.0625 0.21875 0 6 5 0 6 15
0.0625 0.234375 0 6 5 0 6 16
0.0625 0.25 0 6 5 0 6 17
0.0625 0.265625 0 6 5 0 6 18
0.0625 0.28125 0 6 5 0 6 19
0.0625 0.296875 0 6 5 0 6 20
0.0625 0.3125 0 6 5 0 6 21
0.0625 0.328125 0 6 5 0 6 22
0.0625 0.34375 0 6 5 0 6 23
0.0625 0.359375 0 6 5 0 6 24
0.0625 0.375 0 6 5 0 6 25
0.0625 0.390625 0 6 5 0 6 26
0.0625 0.40625 0 6 5 0 6 27
0.0625 0.421875 0 6 5 0 6 28
0.0625 0.4375 0 6 5 0 6 29
0.0625 0.453125 0 6 5 0 6 30
0.0625 0.46875 0 6 5 0 6 31
0.0625 0.484375 0 6 5 0 6 32
0.0625 0.5 0 6 5 0 6 33
0.0625 0.515625 0 6 5 0 6 34
0.0625 0.53125 0 6 5 0 6 35
0.0625 0.546875 0 6 5 0 6 36
0.0625 0.5625 0 6 5 0 6 37
0.0625 0.578125 0 6 5 0 6 38
0.0625 0.59375 0 6 5 0 6 39
0.0625 0.609375 0 6 5 0 6 40
0.0625 0.625 0 6 5 0 6 41
0.0625 0.640625 0 6 5 0 6 42
0.0625 0.65625 0 6 5 0 6 43
0.0625 0.671875 0 6 5 0 6 44
0.0625 0.6875 0 6 5 0 6 45
0.0625 0.703125 0 6 5 0 6 46
0.0625 0.71875 0 6 5 0 6 47
0.0625 0.734375 0 6 5 0 6 48
0.0625 0.75 0 6 5 0 6 49
0.0625 0.765625 0 6 5 0 6 50
0.0625 0.78125 0 6 5 0 6 51
0.0625 0.796875 0 6 5 0 6 52
0.0625 0.8125 0 6 5 0 6 53
0.0625 0.828125 0 6 5 0 6 54
0.0625 0.84375 0 6 5 0 6 55
0.0625 0.859375 0 6 5 0 6 56
0.0625 0.875 0 6 5 0 6 57
0.0625 0.890625 0 6 5 0 6 58
0.0625 0.90625 0 6 5 0 6 59
0.0625 0.921875 0 6 5 0 6 60
0.0625 0.9375 0 6 5 0 6 61
0.0625 0.953125 0 6 5 0 6 62
0.0625 0.96875 0 6 5 0 6 63
0.0625 0.984375 0 6 5 0 6 64
0.078125 0.015625 0 6 6 0 6 2
0.078125 0.03125 0 6 6 0 6 3
0.078125 0.046875 0 6 6 0 6 4
0.078125 0.0625 0 6 6 0 6 5
0.078125 0.078125 0 6 6 0 6 6
0.078125 0.09375 0 6 6 0 6 7
0.078125 0.109375 0 6 6 0 6 8
0.078125 0.125 0 6 6 0 6 9
0.078125 0.140625 0 6 6 0 6 10
0.078125 0.15625 0 6 6 0 6 11
0.078125 0.171875 0 6 6 0 6 12
0.078125 0.1875 0 6 6 0 6 13
0.078125 0.203125 0 6 6 0 6 14
0.078125 0.21875 0 6 6 0 6 15
0.078125 0.234375 0 6 6 0 6 16
0.078125 0.25 0 6 6 0 6 17
0.078125 0.265625 0 6 6 0 6 18
0.078125 0.28125 0 6 6 0 6 19
0.078125 0.296875 0 6 6 0 6 20
0.078125 0.3125 0 6 6 0 6 21
0.078125 0.328125 0 6 6 0 6 22
0.078125 0.34375 0 6 6 0 6 23
0.078125 0.359375 0 6 6 0 6 24
0.078125 0.375 0 6 6 0 6 25
0.078125 0.390625 0 6 6 0 6 26
0.078125 0.40625 0 6 6 0 6 27
0.078125 0.421875 0 6 6 0 6 28
0.078125 0.4375 0 6 6 0 6 29
0.078125 0.453125 0 6 6 0 6 30
0.078125 0.46875 0 6 6 0 6 31
0.078125 0.484375 0 6 6 0 6 32
0.078125 0.5 0 6 6 0 6 33
0.078125 0.515625 0 6 6 0 6 34
0.078125 0.53125 0 6 6 0 6 35
0.078125 0.546875 0 6 6 0 6 36
0.078125 0.5625 0 6 6 0 6 37
0.078125 0.578125 0 6 6 0 6 38
0.078125 0.59375 0 6 6 0 6 39
0.078125 0.609375 0 6 6 0 6 40
0.078125 0.625 0 6 6 0 6 41
0.078125 0.640625 0 6 6 0 6 42
0.078125 0.65625 0 6 6 0 6 43
0.078125 0.671875 0 6 6 0 6 44
0.078125 0.6875 0 6 6 0 6 45
0.078125 0.703125 0 6 6 0 6 46
0.078125 0.71875 0 6 6 0 6 47
0.078125 0.734375 0 6 6 0 6 48
0.078125 0.75 0 6 6 0 6 49
0.078125 0.765625 0 6 6 0 6 50
0.078125 0.78125 0 6 6 0 6 51
0.078125 0.796875 0 6 6 0 6 52
0.078125 0.8125 0 6 6 0 6 53
0.078125 0.828125 0 6 6 0 6 54
0.078125 0.84375 0 6 6 0 6 55
0.078125 0.859375 0 6 6 0 6 56
0.078125 0.875 0 6 6 0 6 57
0.078125 0.890625 0 6 6 0 6 58
0.078125 0.90625 0 6 6 0 6 59
0.078125 0.921875 0 6 6 0 6 60
0.078125 0.9375 0 6 6 0 6 61
0.078125 0.953125 0 6 6 0 6 62
0.078125 0.96875 0 6 6 0 6 63
0.078125 0.984375 0 6 6 0 6 64
0.09375 0.015625 0 6 7 0 6 2
0.09375 0.03125 0 6 7 0 6 3
0.09375 0.046875 0 6 7 0 6 4
0.09375 0.0625 0 6 7 0 6 5
0.09375 0.078125 0 6 7 0 6 6
0.09375 0.09375 0 6 7 0 6 7
0.09375 0.109375 0 6 7 0 6 8
0.09375 0.125 0 6 7 0 6 9
0.09375 0.140625 0 6 7 0 6 10
0.09375 0.15625 0 6 7 0 6 11
0.09375 0.171875 0 6 7 0 6 12
0.09375 0.1875 0 6 7 0 6 13
0.09375 0.203125 0 6 7 0 6 14
0.09375 0.21875 0 6 7 0 6 15
0.09375 0.234375 0 6 7 0 6 16
0.09375 0.25 0 6 7 0 6 17
0.09375 0.265625 0 6 7 0 6 18
0.09375 0.28125 0 6 7 0 6 19
0.09375 0.296875 0 6 7 0 6 20
0.09375 0.3125 0 6 7 0 6 21
0.09375 0.328125 0 6 7 0 6 22
0.09375 0.34375 0 6 7 0 6 23
0.09375 0.359375 0 6 7 0 6 24
0.09375 0.375 0 6 7 0 6 25
0.09375 0.390625 0 6 7 0 6 26
0.09375 0.40625 0 6 7 0 6 27
0.09375 0.421875 0 6 7 0 6 28
0.09375 0.4375 0 6 7 0 6 29
0.09375 0.453125 0 6 7 0 6 30
0.09375 0.46875 0 6 7 0 6 31
0.09375 0.484375 0 6 7 0 6 32
0.09375 0.5 0 6 7 0 6 33
0.09375 0.515625 0 6 7 0 6 34
0.09375 0.53125 0 6 7 0 6 35
0.09375 0.546875 0 6 7 0 6 36
0.09375 0.5625 0 6 7 0 6 37
0.09375 0.578125 0 6 7 0 6 38
0.09375 0.59375 0 6 7 0 6 39
0.09375 0.609375 0 6 7 0 6 40
0.09375 0.625 0 6 7 0 6 41
0.09375 0.640625 0 6 7 0 6 42
0.09375 0.65625 0 6 7 0 6 43
0.09375 0.671875 0 6 7 0 6 44
0.09375 0.6875 0 6 7 0 6 45
0.09375 0.703125 0 6 7 0 6 46
0.09375 0.71875 0 6 7 0 6 47
0.09375 0.734375 0 6 7 0 6 48
0.09375 0.75 0 6 7 0 6 49
0.09375 0.765625 0 6 7 0 6 50
0.09375 0.78125 0 6 7 0 6 51
0.09375 0.796875 0 6 7 0 6 52
0.09375 0.8125 0 6 7 0 6 53
0.09375 0.828125 0 6 7 0 6 54
0.09375 0.84375 0 6 7 0 6 55
0.09375 0.859375 0 6 7 0 6 56
0.09375 0.875 0 6 7 0 6 57
0.09375 0.890625 0 6 7 0 6 58
0.09375 0.90625 0 6 7 0 6 59
0.09375 0.921875 0 6 7 0 6 60
0.09375 0.9375 0 6 7 0 6 61
0.09375 0.953125 0 6 7 0 6 62
0.09375 0.96875 0 6 7 0 6 63
0.09375 0.984375 0 6 7 0 6 64
0.109375 0.015625 0 6 8 0 6 2
0.109375 0.03125 0 6 8 0 6 3
0.109375 0.046875 0 6 8 0 6 4
0.109375 0.0625 0 6 8 0 6 5
0.109375 0.078125 0 6 8 0 6 6
0.109375 0.09375 0 6 8 0 6 7
0.109375 0.109375 0 6 8 0 6 8
0.109375 0.125 0 6 8 0 6 9
0.109375 0.140625 0 6 8 0 6 10
0.109375 0.15625 0 6 8 0 6 11
0.109375 0.171875 0 6 8 0 6 12
0.109375 0.1875 0 6 8 0 6 13
0.109375 0.203125 0 6 8 0 6 14
0.109375 0.21875 0 6 8 0 6 15
0.109375 0.234375 0 6 8 0 6 16
0.109375 0.25 0 6 8 0 6 17
0.109375 0.265625 0 6 8 0 6 18
0.109375 0.28125 0 6 8 0 6 19
0.109375 0.296875 0 6 8 0 6 20
0.109375 0.3125 0 6 8 0 6 21
0.109375 0.328125 0 6 8 0 6 22
0.109375 0.34375 0 6 8 0 6 23
0.109375 0.359375 0 6 8 0 6 24
0.109375 0.375 0 6 8 0 6 25
0.109375 0.390625 0 6 8 0 6 26
0.109375 0.40625 0 6 8 0 6 27
0.109375 0.421875 0 6 8 0 6 28
0.109375 0.4375 0 6 8 0 6 29
0.109375 0.453125 0 6 8 0 6 30
0.109375 0.46875 0 6 8 0 6 31
0.109375 0.484375 0 6 8 0 6 32
0.109375 0.5 0 6 8 0 6 33
0.109375 0.515625 0 6 8 0 6 34
0.109375 0.53125 0 6 8 0 6 35
0.109375 0.546875 0 6 8 0 6 36
0.109375 0.5625 0 6 8 0 6 37
0.109375 0.578125 0 6 8 0 6 38
0.109375 0.59375 0 6 8 0 6 39
0.109375 0.609375 0 6 8 0 6 40
0.109375 0.625 0 6 8 0 6 41
0.109375 0.640625 0 6 8 0 6 42
0.109375 0.65625 0 6 8 0 6 43
0.109375 0.671875 0 6 8 0 6 44
0.109375 0.6875 0 6 8 0 6 45
0.109375 0.703125 0 6 8 0 6 46
0.109375 0.71875 0 6 8 0 6 47
0.109375 0.734375 0 6 8 0 6 48
0.109375 0.75 0 6 8 0 6 49
0.109375 0.765625 0 6 8 0 6 50
0.109375 0.78125 0 6 8 0 6 51
0.109375 0.796875 0 6 8 0 6 52
0.109375 0.8125 0 6 8 0 6 53
0.109375 0.828125 0 6 8 0 6 54
0.109375 0.84375 0 6 8 0 6 55
0.109375 0.859375 0 6 8 0 6 56
0.109375 0.875 0 6 8 0 6 57
0.109375 0.890625 0 6 8 0 6 58
0.109375 0.90625 0 6 8 0 6 59
0.109375 0.921875 0 6 8 0 6 60
0.109375 0.9375 0 6 8 0 6 61
0.109375 0.953125 0 6 8 0 6 62
0.109375 0.96875 0 6 8 0 6 63
0.109375 0.984375 0 6 8 0 6 64
0.125 0.015625 0 6 9 0 6 2
0.125 0.03125 0 6 9 0 6 3
0.125 0.046875 0 6 9 0 6 4
0.125 0.0625 0 6 9 0 6 5
0.125 0.078125 0 6 9 0 6 6
0.125 0.09375 0 6 9 0 6 7
0.125 0.109375 0 6 9 0 6 8
0.125 0.125 0 6 9 0 6 9
0.125 0.140625 0 6 9 0 6 10
0.125 0.15625 0 6 9 0 6 11
0.125 0.171875 0 6 9 0 6 12
0.125 0.1875 0 6 9 0 6 13
0.125 0.203125 0 6 9 0 6 14
0.125 0.21875 0 6 9 0 6 15
0.125 0.234375 0 6 9 0 6 16
0.125 0.25 0 6 9 0 6 17
0.125 0.265625 0 6 9 0 6 18
0.125 0.28125 0 6 9 0 6 19
0.125 0.296875 0 6 9 0 6 20
0.125 0.3125 0 6 9 0 6 21
0.125 0.328125 0 6 9 0 6 22
0.125 0.34375 0 6 9 0 6 23
0.125 0.359375 0 6 9 0 6 24
0.125 0.375 0 6 9 0 6 25
0.125 0.390625 0 6 9 0 6 26
0.125 0.40625 0 6 9 0 6 27
0.125 0.421875 0 6 9 0 6 28
0.125 0.4375 0 6 9 0 6 29
0.125 0.453125 0 6 9 0 6 30
0.125 0.46875 0 6 9 0 6 31
0.125 0.484375 0 6 9 0 6 32
0.125 0.5 0 6 9 0 6 33
0.125 0.515625 0 6 9 0 6 34
0.125 0.53125 0 6 9 0 6 35
0.125 0.546875 0 6 9 0 6 36
0.125 0.5625 0 6 9 0 6 37
0.125 0.578125 0 6 9 0 6 38
0.125 0.59375 0 6 9 0 6 39
0.125 0.609375 0 6 9 0 6 40
0.125 0.625 0 6 9 0 6 41
0.125 0.640625 0 6 9 0 6 42
0.125 0.65625 0 6 9 0 6 43
0.125 0.671875 0 6 9 0 6 44
0.125 0.6875 0 6 9 0 6 45
0.125 0.703125 0 6 9 0 6 46
0.125 0.71875 0 6 9 0 6 47
0.125 0.734375 0 6 9 0 6 48
0.125 0.75 0 6 9 0 6 49
0.125 0.765625 0 6 9 0 6 50
0.125 0.78125 0 6 9 0 6 51
0.125 0.796875 0 6 9 0 6 52
0.125 0.8125 0 6 9 0 6 53
0.125 0.828125 0 6 9 0 6 54
0.125 0.84375 0 6 9 0 6 55
0.125 0.859375 0 6 9 0 6 56
0.125 0.875 0 6 9 0 6 57
0.125 0.890625 0 6 9 0 6 58
0.125 0.90625 0 6 9 0 6 59
0.125 0.921875 0 6 9 0 6 60
0.125 0.9375 0 6 9 0 6 61
0.125 0.953125 0 6 9 0 6 62
0.125 0.96875 0 6 9 0 6 63
0.125 0.984375 0 6 9 0 6 64
0.140625 0.015625 0 6 10 0 6 2
0.140625 0.03125 0 6 10 0 6 3
0.140625 0.046875 0 6 10 0 6 4
0.140625 0.0625 0 6 10 0 6 5
0.140625 0.078125 0 6 10 0 6 6
0.140625 0.09375 0 6 10 0 6 7
0.140625 0.109375 0 6 10 0 6 8
0.140625 0.125 0 6 10 0 6 9
0.140625 0.140625 0 6 10 0 6 10
0.140625 0.15625 0 6 10 0 6 11
0.140625 0.171875 0 6 10 0 6 12
0.140625 0.1875 0 6 10 0 6 13
0.140625 0.203125 0 6 10 0 6 14
0.140625 0.21875 0 6 10 0 6 15
0.140625 0.234375 0 6 10 0 6 16
0.140625 0.25 0 6 10 0 6 17
0.140625 0.265625 0 6 10 0 6 18
0.140625 0.28125 0 6 10 0 6 19
0.140625 0.296875 0 6 10 0 6 20
0.140625 0.3125 0 6 10 0 6 21
0.140625 0.328125 0 6 10 0 6 22
0.140625 0.34375 0 6 10 0 6 23
0.140625 0.359375 0 6 10 0 6 24
0.140625 0.375 0 6 10 0 6 25
0.140625 0.390625 0 6 10 0 6 26
0.140625 0.40625 0 6 10 0 6 27
0.140625 0.421875 0 6 10 0 6 28
0.140625 0.4375 0 6 10 0 6 29
0.140625 0.453125 0 6 10 0 6 30
0.140625 0.46875 0 6 10 0 6 31
0.140625 0.484375 0 6 10 0 6 32
0.140625 0.5 0 6 10 0 6 33
0.140625 0.515625 0 6 10 0 6 34
0.140625 0.53125 0 6 10 0 6 35
0.140625 0.546875 0 6 10 0 6 36
0.140625 0.5625 0 6 10 0 6 37
0.140625 0.578125 0 6 10 0 6 38
0.140625 0.59375 0 6 10 0 6 39
0.140625 0.609375 0 6 10 0 6 40
0.140625 0.625 0 6 10 0 6 41
0.140625 0.640625 0 6 10 0 6 42
0.140625 0.65625 0 6 10 0 6 43
0.140625 0.671875 0 6 10 0 6 44
0.140625 0.6875 0 6 10 0 6 45
0.140625 0.703125 0 6 10 0 6 46
0.140625 0.71875 0 6 10 0 6 47
0.140625 0.734375 0 6 10 0 6 48
0.140625 0.75 0 6 10 0 6 49
0.140625 0.765625 0 6 10 0 6 50
0.140625 0.78125 0 6 10 0 6 51
0.140625 0.796875 0 6 10 0 6 52
0.140625 0.8125 0 6 10 0 6 53
0.140625 0.828125 0 6 10 0 6 54
0.140625 0.84375 0 6 10 0 6 55
0.140625 0.859375 0 6 10 0 6 56
0.140625 0.875 0 6 10 0 6 57
0.140625 0.890625 0 6 10 0 6 58
0.140625 0.90625 0 6 10 0 6 59
0.140625 0.921875 0 6 10 0 6 60
0.140625 0.9375 0 6 10 0 6 61
0.140625 0.953125 0 6 10 0 6 62
0.140625 0.96875 0 6 10 0 6 63
0.140625 0.984375 0 6 10 0 6 64
0.15625 0.015625 0 6 11 0 6 2
0.15625 0.03125 0 6 11 0 6 3
0.15625 0.046875 0 6 11 0 6 4
0.15625 0.0625 0 6 11 0 6 5
0.15625 0.078125 0 6 11 0 6 6
0.15625 0.09375 0 6 11 0 6 7
